label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs60 60 1 1 0 3 1 1 2 8 7 1 30 3.5 3 0 3 1 20 10 10 7 10000 5 0 65 5 0 7 6 0 100 8 1 
Obs61 61 1 1 0 2 1 2 0 0 5 1 23 3.2 5 3 5 1 7 10 5 5 70 2 10 65 3 0 6 10 10 30 10 1 
Obs62 62 1 1 0 3 1 0 5 2 6 0 23 3.7 3 2 0 0 3 2 5 3 70 5 7 120 2 0 5 9 0 20 5 1 
Obs63 63 1 1 1 1 1 0 0 4 8 1 26 2.9 8 15 5 1 1 4 5 0 200 5 5 250 9 1 10 8 10 100 3 1 
Obs64 64 1 1 0 0 1 0 5 1 8 0 30 3.4 0 0 1 1 10 10 5 8 300 5 9 700 5 5 5 8 5 10 5 1 
Obs65 65 1 1 0 1 1 1 0 3 4 0 17 3.8 3 1 1 2 5 3 5 8 60 2 3 50 3 0 5 7 25 0 6 1 
Obs66 66 0 0 0 2 1 3 7 0 5 1 34 3.4 0 0 0 1 1 1 14 10 10000 6 5 400 8 1 3 8 0 100 10 1 
Obs67 67 0 0 0 3 1 2 0 7 5 0 25 1.4 8 14 4 1 5 2 4 4 95 5 10 65 2 0 5 7 0 100 6 1 
Obs68 68 1 1 1 0 0 5 6 0 5 1 25 2.9 16 25 20 3 6 4 3 4 80 5 5 280 0 0 5 10 0 100 7 1 
Obs69 69 1 1 0 0 1 0 0 6 6 0 29 4 2 6 0 0 4 4 4 8 100 5 8 300 1 0 5 8 0 100 4 1 
Obs70 70 1 1 0 2 1 3 0 10 8 1 26 3.2 0 0 1 2 1 3 16 2 150 5 10 41 7 5 4 10 5 100 10 1 
Obs71 71 1 1 0 2 1 1 0 10 7 0 18 3.3 0 0 0 0 5 6 7 3 100 6 6 60 4 0 7 5 20 100 8 1 
Obs72 72 0 0 0 2 1 2 0 10 5 1 25 2.4 0 0 0 4 10 3 5 0 75 6 10 16 9 2 10 10 0 10 10 1 
Obs73 73 0 0 0 0 1 3 0 3 7 1 34 3 0 11 5 0 2 2 17 0 250 5 10 20 5 2 5 7 25 0 9 1 
